[59.5981912  30.18646756] 

6 min 36 sec   SP1: 52.0  SP2: 24.0    T1: 48.02269999999999   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 37 sec   SP1: 52.0  SP2: 24.0    T1: 48.02269999999999   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 38 sec   SP1: 52.0  SP2: 24.0    T1: 48.02269999999999   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 39 sec   SP1: 52.0  SP2: 24.0    T1: 48.02269999999999   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 40 sec   SP1: 52.0  SP2: 24.0    T1: 48.02269999999999   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 41 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 42 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 43 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 44 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 45 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 46 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 47 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 48 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 49 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 50 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 51 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 52 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 53 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 54 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 29.006999999999998     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 55 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 29.006999999999998     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 56 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 29.329299999999996     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 57 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 29.006999999999998     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 58 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 29.006999999999998     H1: 59.55003579337367   H2: 0.01974491072552468
6 min 59 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 29.006999999999998     H1: 59.55003579337367   H2: 0.01974491072552468
[3.57694917e+01 1.84727175e-02] 

7 min 0 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 29.006999999999998     H1: 59.55003579337367   H2: 0.01974491072552468
7 min 1 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 2 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 3 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 4 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 5 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 6 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 7 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 8 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 9 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 10 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 11 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 12 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 13 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.6847     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 14 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 15 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 16 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 17 sec   SP1: 52.0  SP2: 24.0    T1: 50.601099999999995   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 18 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 19 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 20 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 21 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 22 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 23 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 24 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
