time,Q1,T1,Tsp1,Q2,T2,Tsp2
8008.5577573776245,,23.93,43.0,,23.48,48.0
8013.619245529175,,24.09,43.0,,23.48,48.0
8018.538927078247,,24.06,43.0,,23.48,48.0
8023.532168865204,,23.99,43.0,,23.48,48.0
8028.474497795105,,23.99,43.0,,23.48,48.0
8033.476808309555,,24.09,43.0,,23.48,48.0
8038.423407316208,,24.09,43.0,,23.48,48.0
8043.339492797852,,23.96,43.0,,23.48,48.0
8048.307816743851,,23.99,43.0,,23.48,48.0
8053.229552984238,,24.12,43.0,,23.48,48.0
8058.173877716064,,23.93,43.0,,23.48,48.0
8063.130142450333,,23.96,43.0,,23.48,48.0
8068.129756450653,,24.09,43.0,,23.48,48.0
8073.082976341248,,23.96,43.0,,23.48,48.0
8078.000928163528,,24.09,49.0,,23.48,48.0
8082.941930532455,,24.09,49.0,,23.48,48.0
8087.913336277008,,24.06,49.0,,23.48,48.0
8092.86821937561,,24.02,49.0,,23.48,48.0
8097.801314115524,,24.02,49.0,,23.48,48.0
8102.817942857742,,24.02,49.0,,23.48,48.0
8107.7490611076355,,23.96,49.0,,23.48,48.0
8112.6843547821045,,24.06,49.0,,23.48,48.0
8117.600121259689,,24.06,49.0,,23.48,48.0
8122.585514307022,,24.02,49.0,,23.48,48.0
8127.536401510239,,23.99,49.0,,23.48,48.0
8132.4839878082275,,24.02,49.0,,23.48,48.0
8137.430932998657,,23.93,49.0,,23.48,48.0
8142.487480640411,,23.9,49.0,,23.48,48.0
8147.411267518997,,23.96,49.0,,23.48,48.0
8152.4225878715515,,24.02,49.0,,23.48,48.0
8157.430147409439,,23.96,49.0,,23.48,48.0
8162.367552995682,,24.09,49.0,,23.48,48.0
8168.448458909988,,23.99,49.0,,23.48,48.0
8173.382597208023,,23.93,49.0,,23.48,48.0
8178.363753318787,,23.96,49.0,,23.48,48.0
8183.443875551224,,24.02,49.0,,23.48,48.0
8188.388329982758,,23.99,49.0,,23.48,48.0
8193.540838241577,,23.99,49.0,,23.48,48.0
8198.484748363495,,24.02,49.0,,23.48,48.0
8203.39047908783,,23.9,49.0,,23.48,48.0
8208.296465396881,,24.06,49.0,,23.48,48.0
8213.27522969246,,23.96,49.0,,23.48,48.0
8218.185749292374,,23.9,49.0,,23.48,48.0
8223.0661175251,,23.96,49.0,,23.48,48.0
8227.961824417114,,23.99,49.0,,23.48,48.0
8232.915665149689,,23.96,49.0,,23.48,48.0
8237.837003469467,,24.06,49.0,,23.48,48.0
8242.7216527462,,23.99,49.0,,23.48,48.0
8247.6568005085,,23.99,49.0,,23.48,48.0
8253.623129367828,,23.96,49.0,,23.48,48.0
8258.486493587494,,23.99,49.0,,23.48,48.0
8263.417454242706,,23.96,49.0,,23.48,48.0
8268.369758367538,,23.99,49.0,,23.48,48.0
8273.245349645615,,23.99,49.0,,23.48,48.0
8278.148646354675,,23.99,49.0,,23.48,48.0
8283.060875415802,,23.96,49.0,,23.48,48.0
8288.017041921616,,24.02,49.0,,23.48,48.0
8292.9013838768,,23.99,49.0,,23.48,48.0
8297.818950891495,,24.02,49.0,,23.48,48.0
8302.722789049149,,23.99,49.0,,23.48,48.0
8308.682149648666,,23.93,49.0,,23.48,48.0
8313.605164051056,,24.02,49.0,,23.48,48.0
8318.489266872406,,23.93,49.0,,23.48,48.0
8323.470764398575,,23.96,49.0,,23.48,48.0
8328.389406442642,,23.9,49.0,,23.48,48.0
8333.296122789383,,23.96,49.0,,23.48,48.0
8338.20518565178,,23.9,49.0,,23.48,48.0
8343.158305168152,,23.93,49.0,,23.48,48.0
8348.094472408295,,23.93,49.0,,23.48,48.0
8352.977265834808,,23.86,49.0,,23.48,48.0
8357.905184268951,,23.9,49.0,,23.48,48.0
8362.852495670319,,23.9,49.0,,23.48,48.0
8367.943007946014,,23.96,49.0,,23.48,48.0
8372.876771450043,,23.83,49.0,,23.48,48.0
8377.831556558609,,23.96,49.0,,23.48,48.0
8382.752870082855,,23.96,49.0,,23.48,48.0
8387.707417011261,,23.9,49.0,,23.48,48.0
8392.563938379288,,23.86,49.0,,23.48,48.0
8397.485836029053,,23.9,49.0,,23.48,48.0
